project_gid,project_name,task_gid,task_name,section,canonical_phase,completed,created_at,completed_at,assignee,num_subtasks,resource_subtype,tracked_minutes,n_activity,n_comments,task_custom_fields
1205095744696654,ACE Ascent Phase II,1205096149364533,Production,Production Ratio and Proportion,Production Ratio and Proportion,True,2023-07-19T19:39:20.282Z,2023-10-19T15:39:16.965Z,,0,default_task,0.0,0,0,"{""Phase"": ""Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096149364538,MILESTONE: Production Complete,Production Ratio and Proportion,Production Ratio and Proportion,True,2023-07-19T19:39:20.641Z,2023-10-19T15:39:18.599Z,,0,milestone,0.0,0,0,"{""Phase"": ""Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205095744696698,Assemblies/RC1 Ratio,Post-Production Ratio and Proportion,Post-Production Ratio and Proportion,True,2023-07-19T19:48:19.043Z,2023-10-19T15:43:30.639Z,,2,default_task,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205751901492162,RC2 Ratio and Proportion,Post-Production Ratio and Proportion,Post-Production Ratio and Proportion,True,2023-10-19T15:39:40.744Z,2023-11-16T17:59:14.924Z,,2,default_task,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205751901492164,FC1 Ratio and Proportion,Post-Production Ratio and Proportion,Post-Production Ratio and Proportion,True,2023-10-19T15:42:25.760Z,2023-11-17T17:54:24.620Z,,2,default_task,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096149364543,MILESTONE: Post-Production Complete,Post-Production Ratio and Proportion,Post-Production Ratio and Proportion,True,2023-07-19T19:39:20.913Z,2024-08-16T14:35:32.176Z,,0,milestone,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096111149809,Design kick-off meeting,Design Leadership II,Design Leadership II,True,2023-07-19T19:39:09.229Z,2023-07-19T19:39:09.228Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096111292876,Bri to flesh out course map layout,Design Leadership II,Design Leadership II,True,2023-07-19T19:39:15.296Z,2023-07-19T19:39:15.294Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096111149819,Discuss media assets in course map,Design Leadership II,Design Leadership II,True,2023-07-19T19:39:10.048Z,2023-07-19T19:39:10.047Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1206028593557962,Course build,Design Leadership II,Design Leadership II,True,2023-11-27T18:08:04.473Z,2023-11-27T18:08:28.385Z,,7,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1206028593557995,Meeting to review final build,Design Leadership II,Design Leadership II,True,2023-11-27T18:10:22.363Z,2023-12-19T18:44:08.628Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096111149823,Determine creative treatment,Pre-Production Leadership II,Pre-Production Leadership II,True,2023-07-19T19:39:10.255Z,2023-10-18T19:52:40.693Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096111373381,Production Schedule,Pre-Production Leadership II,Pre-Production Leadership II,True,2023-07-19T19:39:16.392Z,2023-10-19T15:30:14.812Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205095744696700,Draft interview questions,Pre-Production Leadership II,Pre-Production Leadership II,True,2023-07-19T19:48:40.889Z,2023-10-18T19:52:41.605Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205751901492212,MILESTONE: Preproduction Complete,Pre-Production Leadership II,Pre-Production Leadership II,True,2023-10-19T16:05:38.559Z,2023-10-19T16:06:05.876Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096111292851,MILESTONE: Production Complete,Production Leadership II,Production Leadership II,True,2023-07-19T19:39:13.717Z,2023-10-18T19:52:46.322Z,,0,milestone,0.0,0,0,"{""Phase"": ""Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096110100039,Production,Production Leadership II,Production Leadership II,True,2023-07-19T19:39:13.386Z,2023-10-18T19:52:45.689Z,,0,default_task,0.0,0,0,"{""Phase"": ""Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
